Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
174	8	26.262	113.76	35.91	81.12	2	20.03	6	11	31	7	9	47	4	4.784	7.824	0	0.016658414	3.588521429	4.588865714	0.99992	4.83712	32047300	17991800	23639785.71	0.982425286	0.806701286	1.209967143	0.684899714
175	15	25.146	63.456	18.846	53.856	3	20.33	15	7	44	14	11	13	6	8.176	16.4	0	0.009017539	3.567482857	4.567402857	0.750236143	12.5991	36141085.71	11992400	22407185.71	0.990442	0.814342857	1.213652857	0.683453714
176	10	21.834	77.28	23.382	116.64	7	24.05	11	12	45	15	13	29	4	15.024	15.632	0	0.0160015	3.548185714	4.547625714	0.512042143	13.19934286	34297842.86	15142957.14	8477842.857	0.983061429	0.809422429	1.217175714	0.682246286
177	12	24.138	61.152	26.442	90.912	11	40.85	9	12	24	6	8	45	4	12.72	19.856	0	0.0226496	3.50616	4.505032857	0.731860857	7.567791429	23796857.14	1255811.429	1522627.143	0.975946286	0.805749	1.224507143	0.679578714
178	22	18.378	133.728	19.638	63.648	5	43.31	5	8	22	14	11	34	4	4.688	4.272	0.375063	0.780094	5.476315714	98.1242	0.99992	2.788938571	34129614.29	15418857.14	7010818.571	0.173922571	0.043631814	0.620566286	0.407347857
179	11	26.226	83.424	30.834	88.992	10	39.17	13	5	44	14	7	25	6	19.472	7.44	0	0.023730943	3.520804286	4.523608571	0.615935143	3.181292857	33355085.71	1540594.286	2933870	0.974849429	0.803855571	1.221777143	0.680449286
180	10	25.254	62.688	26.874	64.416	4	34.01	11	14	29	5	5	46	3	14.736	14	0	0.0226286	3.506421429	4.50536	0.365634429	20.60211429	30196428.57	7539452.857	19917014.29	0.975971429	0.805605714	1.224211429	0.679646
181	16	34.686	50.976	27.918	118.752	9	36.35	13	13	32	10	13	17	6	17.136	9.552	0	0.015116014	3.492157143	4.491007143	0.241427571	51.40391429	35409485.71	19399771.43	4337460	0.983912429	0.813185143	1.226965714	0.678731286
182	13	28.494	119.904	33.534	78.816	4	29.81	10	10	20	11	5	24	2	4.336	6.16	0.153325286	0.654028143	4.75515	54.33151429	0.99992	2.775332857	35371257.14	9001344.286	912785.2857	0.278499429	0.093241571	0.724062714	0.467251286
183	14	32.994	90.912	34.398	136.992	3	42.35	5	12	18	9	9	44	4	17.232	16.08	0.337760571	0.690449714	5.42292	56.28695714	0.714680143	6.061327143	26641557.14	6393204.286	395412.8571	0.282833571	0.074288157	0.639949571	0.415130714
184	21	23.85	102.624	30.654	50.976	11	25.67	14	13	46	11	8	41	6	19.504	12.816	0	0.00813305	3.542942857	4.542358571	0.571232714	13.59181429	31870042.86	4275467.143	17590842.86	0.991355714	0.816621857	1.218058571	0.681948571
185	21	25.65	134.496	23.526	129.888	9	41.81	9	8	49	13	7	41	3	19.28	11.984	0	0.013246843	3.512234286	4.511158571	0.718794571	3.984834286	30000957.14	19158.3	123425	0.985923857	0.81352	1.222961429	0.680092429
186	19	30.942	117.216	26.838	108.768	12	26.15	12	14	27	10	12	34	5	18.672	14.704	0	0.009157197	3.56552	4.565287143	0.770956	2.801464286	31414900	11750885.71	5633.317143	0.990288857	0.814911143	1.214415714	0.683466286
187	15	34.47	115.104	32.85	98.976	12	29.69	6	10	43	11	14	19	4	16.432	5.488	0	0.013169529	3.514264286	4.513304286	0.362238857	31.12665714	32584800	16384428.57	3030472.857	0.986005571	0.813615143	1.223068571	0.680059143
188	18	29.682	56.544	18.126	113.952	7	38.81	13	8	48	8	5	49	2	11.728	7.952	0	0.014345771	3.496575714	4.495442857	0.551000857	15.81237143	31921771.43	95828.14286	18507300	0.984735571	0.813592429	1.226071429	0.679046714
189	11	35.334	100.128	19.89	124.512	11	41.93	14	7	45	13	12	49	5	7.408	9.68	0	0.025362029	3.514081429	4.513008571	0.99992	2.777132857	33360557.14	4035004.286	5240721.429	0.973088286	0.802857857	1.223018571	0.680075286
190	18	30.906	138.72	22.77	60	7	20.63	13	14	44	9	13	31	5	10.768	7.472	0	0.007625573	3.585764286	4.586071429	0.99992	2.758025714	32033985.71	15233014.29	12393300	0.991919429	0.814670143	1.210434286	0.684696429
191	18	27.558	108	27.666	136.224	11	47.03	12	8	38	11	14	47	5	7.056	14.576	0	0.017384071	3.503151429	4.50193	0.99992	2.770858571	31522071.43	5488710	277439.7143	0.981525143	0.810345857	1.224578571	0.679462857
192	17	35.514	122.4	35.946	50.784	2	42.77	10	6	19	14	15	23	4	4.56	16.784	0.466864571	0.780146286	5.745632857	91.06125714	0.896180143	7.959902857	36360342.86	17496242.86	2924605.714	0.189961571	0.044111071	0.596523429	0.392185286
193	14	32.454	138.144	30.762	74.976	3	35.63	12	15	22	8	6	26	5	19.216	7.344	0.324091	0.716187	5.33173	66.62185714	0.521233286	16.4367	32662228.57	10542357.14	6365.957143	0.242309143	0.064350086	0.643068429	0.417941
194	14	34.506	132.96	23.922	66.72	10	32.63	11	11	28	9	10	46	6	8.816	15.664	0.0265285	0.501783143	3.960132857	36.68178571	0.99992	2.756804286	30979214.29	7337454.286	4594470	0.409656571	0.229142143	0.909860143	0.579768714
195	11	27.81	66.528	24.21	131.616	6	32.75	11	15	13	10	14	16	7	10.224	7.568	0.186456429	0.625927286	4.899814286	43.03102857	0.348106429	56.23155714	36102771.43	26811871.43	2235602.857	0.342236286	0.109607286	0.715120429	0.453665
196	20	25.434	49.44	32.13	56.16	6	29.15	9	7	23	9	12	47	2	9.072	17.552	0	0.009697381	3.554465714	4.553971429	0.872113857	5.062462857	29954142.86	5015741.429	19497157.14	0.989713	0.814896	1.216262857	0.682719857
197	16	26.802	85.536	33.786	102.624	8	35.09	12	13	49	6	14	13	3	11.152	6.576	0	0.014592071	3.492148571	4.490994286	0.281352	48.27698571	34521500	22591914.29	9847351.429	0.984469857	0.813638857	1.22697	0.67872
198	13	34.83	49.248	31.194	105.12	2	34.79	7	10	26	13	14	21	5	14.896	14.128	0	0.017805714	3.50537	4.504295714	0.332890143	27.2434	33374628.57	14435185.71	1505130	0.981089	0.809970143	1.224428571	0.679593429
199	19	18.198	97.248	22.878	106.656	6	45.17	5	11	34	6	14	13	6	4.112	11.216	0	0.015817886	3.47636	4.475131429	0.358546714	51.19791429	28278114.29	19020300	6419.048571	0.983136429	0.813657571	1.23002	0.677757
