Simulation;const ed num Emergency Room;const mipw time Treatment LOS[mbed2];const mipw time Treatment LOS[mbed3];const sipw time Treatment LOS[mbed2];const sipw time Treatment LOS[mbed3];const surg num PostOp Beds;edMeanValue ppd;init L MEDBED AVAIL[mbed1];init L MEDBED AVAIL[mbed2];init L MEDBED AVAIL[mbed3];init L SURGBED AVAIL[mbed1];init L SURGBED AVAIL[mbed2];init L SURGBED AVAIL[mbed3];init L SURGERY OR AVAIL;isuMeanValue ppd;osuMeanValue ppd;f1pcntEDLWBS;f2pcntEDRMBLKD;f3timeEDdischarge;f4timeEDadmission;f5pcntSUcompletion;f6timeSUcompletion;f7numICUoccupy;f8numPCUoccupy;f9numACUoccupy;yOEE1avail;yOEE1c;yOEE1perf;yOEE1qual
69;23;28.098;93.792;19.386;109.152;3;22.49;11;10;24;10;13;47;7;11.632;10.64;0;0.006505916;3.580.044.286;4.580.077.143;0.99992;6.643.551.429;30704314.29;10057638.57;3.900.608.571;0.993090714;0.816029571;1.211.525.714;0.684316857
70;15;27.126;103.968;27.882;108;4;27.23;11;7;44;6;12;42;2;7.696;19.024;0;0.012078214;3.560.845.714;456.048;0.870542143;5.072.345.714;30703514.29;8.117.704.286;11409785.71;0.987209286;0.812365;1.215.035.714;0.683118714
71;14;21.222;128.736;23.778;141.792;4;45.53;8;11;34;9;10;45;6;17.744;19.152;0.070780043;0.494499714;4.325.805.714;2.837.538.571;0.741546714;4.823.922.857;26872000;3.850.482.857;9.225.281.429;0.438568714;0.181737;0.817685286;0.507167857
72;24;24.786;78.432;22.806;55.584;9;28.85;14;6;15;14;15;15;5;19.888;14.192;0.017828843;0.527680429;3.777.647.143;6.961.558.571;0.367315;2.038.638.571;35066671.43;10990614.29;2.234.758.571;0.381369429;0.241771714;0.946221143;0.614665857
73;12;18.882;89.76;22.374;94.368;5;44.45;13;7;22;12;10;38;7;10.128;18.32;0.150269714;0.521977714;4.783.694.286;2.918.892.857;0.99992;4.129.605.714;31642814.29;1.143.934.286;3.722.371.843;0.447616857;0.154406;0.746192714;0.466475143
74;19;27.378;132;20.934;95.136;10;28.61;9;13;18;12;15;27;3;15.344;16.752;0.264846143;0.771371857;5.083.701.429;1.064.995.714;0.573733571;9.684.941.429;31746514.29;16525742.86;2.238.341.429;0.156751429;0.0443591;0.659922857;0.434356143
75;24;35.694;113.184;35.19;64.032;7;47.81;15;6;34;12;10;39;3;11.536;7.056;0.081247857;0.631453714;4.352.464.286;5.533.931.429;0.99992;282.531;31055800;1.126.987.143;5.573.224.286;0.272876286;0.112487;0.796503714;0.505067714
76;19;20.646;62.496;34.758;135.072;4;29.51;11;11;21;12;10;46;2;18.32;13.072;0;0.010333829;3.551.794.286;4.551.318.571;0.718307571;4.547.422.857;31293657.14;4.760.775.714;6.754.542.857;0.989038286;0.814437429;1.216.582.857;0.682607857
77;13;18.306;125.28;33.498;131.04;9;25.01;7;9;32;14;13;28;4;16.752;6.32;0;0.012800286;3.533.875.714;453.314;0.419062429;2.344.514.286;33934585.71;14333014.29;4.780.732.857;0.986419429;0.812850714;1.219.535.714;0.681319
78;16;34.794;71.52;30.906;90.336;3;25.37;14;11;41;13;9;41;6;7.6;6.672;0;0.010549814;3.569.194.286;4.568.988.571;0.99992;3.566.277.143;35018042.86;9.619.505.714;17980400;0.988826;0.813528714;1.213.807.143;0.683703429
79;9;22.482;69.024;20.502;117.216;8;38.63;10;12;48;15;9;19;3;18.256;14.448;0;0.028558529;3.492.204.286;4.491.054.286;0.251887857;2.749.217.143;35085342.86;13137628.57;8.693.038.571;0.969634571;0.801294857;1.226.901.429;0.678765714
80;22;18.162;53.472;22.05;60.576;12;36.71;7;7;41;6;6;34;3;18.64;12.528;0;0.0111023;3.502.557.143;4.501.444.286;0.404759714;1.644.017.143;25134228.57;8.029.722.857;18856771.43;0.988181571;0.816053571;1.224.994.286;0.679386143
81;14;33.858;76.32;21.474;111.264;6;30.05;15;5;15;8;13;37;4;12.272;9.2;0.107357714;0.650618;455.943;5.450.061.429;0.962312857;2.776.128.571;31325042.86;2.918.165.714;7.627.171.429;0.277325;0.101177857;0.756441714;0.485816714
82;13;19.638;87.072;18.018;70.56;7;45.29;6;13;47;10;11;41;4;17.936;13.232;0;0.023179829;3.506.187.143;4.505.032.857;0.919554857;3.452.971.429;21368314.29;2.302.388.571;4509620;0.975382857;0.805100571;1.224.148.571;0.679637
83;23;32.706;77.664;23.202;93.984;11;37.37;10;8;48;8;11;26;6;14.096;17.712;0;0.010810457;3.527.148.571;4.526.277.143;0.844498857;2.844.118.571;28977957.14;3.554.834.286;4.945.587.143;0.988515714;0.815068571;122.091;0.680873
84;15;20.898;68.256;29.79;129.696;5;35.99;15;12;36;5;13;22;5;7.76;12.848;0;0.015963986;350.404;4.502.951.429;0.478695;2.371.882.857;33670457.14;17314728.57;3.399.895.714;0.983031857;0.811791286;1.224.938.571;0.67944
85;14;23.346;66.72;28.314;62.112;10;47.33;11;14;48;15;7;49;4;7.312;11.632;0;0.022493614;3.502.508.571;4.501.298.571;0.99992;2.777.798.571;32502228.57;4.106.371.429;18893628.57;0.976101429;0.805872143;1.224.692.857;0.679421286
86;8;28.998;138.336;29.286;79.776;4;26.69;12;8;26;12;14;35;6;11.024;11.376;0;0.022197514;3.563.648.571;4.563.372.857;0.99992;4.346.337.143;31970971.43;6.758.352.857;90455.7;0.976533857;0.803563571;1.214.745.714;0.683332714
87;17;26.298;135.648;26.514;91.68;11;43.13;9;15;46;6;14;18;7;16.56;13.2;0;0.016880343;3.485.161.429;4.483.944.286;0.315656143;3.316.311.429;29526957.14;17333057.14;7.265.458.571;0.982024714;0.812108;1.228.321.429;0.678290429
88;10;30.222;80.352;22.986;77.664;5;43.49;11;13;12;6;8;37;6;17.328;5.104;0.518608714;0.688159429;5.914.067.143;5.444.234.286;0.791901;4.745.455.714;27959385.71;6.783.484.286;565846;0.298158571;0.067943771;0.591991714;0.387421571
89;9;30.078;89.376;26.982;123.744;11;31.85;14;13;31;12;12;21;3;17.36;15.504;0;0.023546;351.152;4.510.531.429;0.26376;2.447.182.857;35853471.43;18180285.71;5.350.947.143;0.975008429;0.804545143;1.223.417.143;0.679919714
90;17;23.994;105.312;32.418;140.832;10;37.61;9;11;18;8;9;43;5;9.456;19.984;0.307406429;0.741277857;5.303.675.714;7.635.957.143;0.997560857;2.753.132.857;29550657.14;6.730.178.571;5.296.002.857;0.216794;0.058561229;0.646066286;0.422817571
91;12;21.042;92.64;31.446;63.072;4;20.93;8;10;25;6;8;44;4;11.248;8.528;0;0.011604671;3.572.477.143;4.572.501.429;0.947967286;7.939.678.571;26390100;3.915.234.286;12586971.43;0.987723286;0.811960714;1.212.872.857;0.683818429
92;14;30.186;76.896;28.71;67.68;12;22.79;9;8;18;9;7;27;7;4.848;19.76;0;0.0108308;357.874;4.578.742.857;0.99992;274.291;34244342.86;9773160;9.879.771.429;0.988541;0.812315429;1.211.764.286;0.684234143
93;19;21.474;140.64;31.806;113.376;4;35.69;8;13;35;7;11;16;4;5.52;9.008;0;0.012498143;350.156;4.500.438.571;0.492728143;2.947.447.143;32348971.43;18922528.57;401816;0.986698714;0.814982;1.225.381.429;0.679273
94;21;28.278;66.144;29.61;84.192;10;43.37;9;11;37;13;11;43;5;6.736;18.704;0;0.013741157;3.510.668.571;4.509.525.714;0.99992;2.761.382.857;31731585.71;6.763.318.571;10301614.29;0.985396143;0.813251429;1.223.542.857;0.679871143
95;14;31.77;131.04;20.862;139.488;10;47.57;11;13;26;14;14;27;5;15.472;10.832;0.371528;0.672603;5.478.674.286;5.196.458.571;0.406024857;2.301.221.429;34857885.71;18484457.14;2.239.177.143;0.299287;0.0760845;0.632603571;0.405949571
96;24;18.99;50.016;26.19;135.264;7;26.03;10;15;14;5;8;22;3;12.56;12.176;0;0.007216229;3.566.305.714;4.566.058.571;0.714999286;2.858.111.429;32049200;19026928.57;1.376.975.571;0.992332143;0.816575286;1.214.268.571;0.683523286
