numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
12;29034;69216;24606;87648;8;39.95;10;10;25;12;15;43;5;10032;4.56;0;0.022150571;3519114286;4518132857;0.99992;2787772857;30091885.71;7404082857;2281958571;0.805487429
10;21.33;52512;20178;139104;12;45.47;10;14;42;10;15;49;4;17104;5648;0;0.030253629;3506177143;4505;0.817351857;2786697143;26755985.71;8082397143;1867221429;0.798868429
14;27414;87648;24642;100512;3;48.41;6;11;25;12;14;43;4;10064;13488;0.147618;0.548039571;4759624286;3215072857;0.918344571;6259974286;27443942.86;6917818571;2777377143;0.143757429
16;30294;109152;26.37;126624;5;37.19;6;13;36;10;7;17;5;17424;19728;0;0.015465329;3496222857;4495084286;0.227298429;3217121429;32791057.14;13864857.14;4819847143;0.812677143
16;28206;58656;27342;74016;7;23.09;8;12;31;9;8;45;5;16496;9392;0;0.009601729;355522;4554797143;0.697080571;1166927143;27732671.43;4162864286;13587157.14;0.814671286
23;28098;93792;19386;109152;3;22.49;11;10;24;10;13;47;7;11632;10.64;0;0.006505916;3580044286;4580077143;0.99992;6643551429;30704314.29;10057638.57;3900608571;0.816029571
15;27126;103968;27882;108;4;27.23;11;7;44;6;12;42;2;7696;19024;0;0.012078214;3560845714;456048;0.870542143;5072345714;30703514.29;8117704286;11409785.71;0.812365
14;21222;128736;23778;141792;4;45.53;8;11;34;9;10;45;6;17744;19152;0.070780043;0.494499714;4325805714;2837538571;0.741546714;4823922857;26872000;3850482857;9225281429;0.181737
24;24786;78432;22806;55584;9;28.85;14;6;15;14;15;15;5;19888;14192;0.017828843;0.527680429;3777647143;6961558571;0.367315;2038638571;35066671.43;10990614.29;2234758571;0.241771714
12;18882;89.76;22374;94368;5;44.45;13;7;22;12;10;38;7;10128;18.32;0.150269714;0.521977714;4783694286;2918892857;0.99992;4129605714;31642814.29;1143934286;3722371843;0.154406
19;27378;132;20934;95136;10;28.61;9;13;18;12;15;27;3;15344;16752;0.264846143;0.771371857;5083701429;1064995714;0.573733571;9684941429;31746514.29;16525742.86;2238341429;0.0443591
24;35694;113184;35.19;64032;7;47.81;15;6;34;12;10;39;3;11536;7056;0.081247857;0.631453714;4352464286;5533931429;0.99992;282531;31055800;1126987143;5573224286;0.112487
19;20646;62496;34758;135072;4;29.51;11;11;21;12;10;46;2;18.32;13072;0;0.010333829;3551794286;4551318571;0.718307571;4547422857;31293657.14;4760775714;6754542857;0.814437429
13;18306;125.28;33498;131.04;9;25.01;7;9;32;14;13;28;4;16752;6.32;0;0.012800286;3533875714;453314;0.419062429;2344514286;33934585.71;14333014.29;4780732857;0.812850714
16;34794;71.52;30906;90336;3;25.37;14;11;41;13;9;41;6;7.6;6672;0;0.010549814;3569194286;4568988571;0.99992;3566277143;35018042.86;9619505714;17980400;0.813528714
9;22482;69024;20502;117216;8;38.63;10;12;48;15;9;19;3;18256;14448;0;0.028558529;3492204286;4491054286;0.251887857;2749217143;35085342.86;13137628.57;8693038571;0.801294857
22;18162;53472;22.05;60576;12;36.71;7;7;41;6;6;34;3;18.64;12528;0;0.0111023;3502557143;4501444286;0.404759714;1644017143;25134228.57;8029722857;18856771.43;0.816053571
14;33858;76.32;21474;111264;6;30.05;15;5;15;8;13;37;4;12272;9.2;0.107357714;0.650618;455943;5450061429;0.962312857;2776128571;31325042.86;2918165714;7627171429;0.101177857
13;19638;87072;18018;70.56;7;45.29;6;13;47;10;11;41;4;17936;13232;0;0.023179829;3506187143;4505032857;0.919554857;3452971429;21368314.29;2302388571;4509620;0.805100571
23;32706;77664;23202;93984;11;37.37;10;8;48;8;11;26;6;14096;17712;0;0.010810457;3527148571;4526277143;0.844498857;2844118571;28977957.14;3554834286;4945587143;0.815068571
15;20898;68256;29.79;129696;5;35.99;15;12;36;5;13;22;5;7.76;12848;0;0.015963986;350404;4502951429;0.478695;2371882857;33670457.14;17314728.57;3399895714;0.811791286
14;23346;66.72;28314;62112;10;47.33;11;14;48;15;7;49;4;7312;11632;0;0.022493614;3502508571;4501298571;0.99992;2777798571;32502228.57;4106371429;18893628.57;0.805872143
8;28998;138336;29286;79776;4;26.69;12;8;26;12;14;35;6;11024;11376;0;0.022197514;3563648571;4563372857;0.99992;4346337143;31970971.43;6758352857;90455.7;0.803563571
17;26298;135648;26514;91.68;11;43.13;9;15;46;6;14;18;7;16.56;13.2;0;0.016880343;3485161429;4483944286;0.315656143;3316311429;29526957.14;17333057.14;7265458571;0.812108
10;30222;80352;22986;77664;5;43.49;11;13;12;6;8;37;6;17328;5104;0.518608714;0.688159429;5914067143;5444234286;0.791901;4745455714;27959385.71;6783484286;565846;0.067943771
9;30078;89376;26982;123744;11;31.85;14;13;31;12;12;21;3;17.36;15504;0;0.023546;351152;4510531429;0.26376;2447182857;35853471.43;18180285.71;5350947143;0.804545143
17;23994;105312;32418;140832;10;37.61;9;11;18;8;9;43;5;9456;19984;0.307406429;0.741277857;5303675714;7635957143;0.997560857;2753132857;29550657.14;6730178571;5296002857;0.058561229
